Date,Actual,RandomWalk,Persistence
2021-02-11,0.06675140870858562,0.0,0.012663364994250609
2021-02-12,0.13716236893857262,0.0,0.06675140870858562
2021-02-13,-0.05355698108597731,0.0,0.13716236893857262
2021-02-14,-0.031981270598526394,0.0,-0.05355698108597731
2021-02-15,0.013703542072089821,0.0,-0.031981270598526394
2021-02-16,0.1182415672854119,0.0,0.013703542072089821
2021-02-17,-0.04357323605189274,0.0,0.1182415672854119
2021-02-18,0.042316965811670826,0.0,-0.04357323605189274
2021-02-19,-0.039015078869909015,0.0,0.042316965811670826
2021-02-20,-0.0017084031193739812,0.0,-0.039015078869909015
2021-02-21,-0.08791728651466404,0.0,-0.0017084031193739812
2021-02-22,-0.16226940302095502,0.0,-0.08791728651466404
2021-02-23,0.024803987929673584,0.0,-0.16226940302095502
2021-02-24,-0.013748699712170187,0.0,0.024803987929673584
2021-02-25,-0.04869953336646576,0.0,-0.013748699712170187
2021-02-26,0.009940566542564293,0.0,-0.04869953336646576
2021-02-27,-0.042574328582585676,0.0,0.009940566542564293
2021-02-28,0.0606404967502562,0.0,-0.042574328582585676
2021-03-01,0.01492216657726508,0.0,0.0606404967502562
2021-03-02,0.058167508336437336,0.0,0.01492216657726508
2021-03-03,-0.040302719942485236,0.0,0.058167508336437336
2021-03-04,-0.001730214768632433,0.0,-0.040302719942485236
2021-03-05,0.012186039400103389,0.0,-0.001730214768632433
2021-03-06,0.04162416757703142,0.0,0.012186039400103389
2021-03-07,0.006107253971485343,0.0,0.04162416757703142
2021-03-08,0.05922455654588981,0.0,0.006107253971485343
2021-03-09,-0.01544489796770643,0.0,0.05922455654588981
2021-03-10,0.0036512465548079135,0.0,-0.01544489796770643
2021-03-11,0.09284090388758524,0.0,0.0036512465548079135
2021-03-12,0.02570006075097313,0.0,0.09284090388758524
2021-03-13,-0.0510762738853849,0.0,0.02570006075097313
2021-03-14,-0.06739372580421801,0.0,-0.0510762738853849
2021-03-15,-0.0011135016837882333,0.0,-0.06739372580421801
2021-03-16,0.024698834440255325,0.0,-0.0011135016837882333
2021-03-17,-0.02720557909463847,0.0,0.024698834440255325
2021-03-18,0.0026215732932576953,0.0,-0.02720557909463847
2021-03-19,-0.0012804819556605364,0.0,0.0026215732932576953
2021-03-20,-0.022046716933121605,0.0,-0.0012804819556605364
2021-03-21,-0.04876991670891503,0.0,-0.022046716933121605
2021-03-22,0.00168841373590048,0.0,-0.04876991670891503
2021-03-23,-0.05336997162196779,0.0,0.00168841373590048
2021-03-24,-0.026197984411285655,0.0,-0.05336997162196779
2021-03-25,0.0628039112785018,0.0,-0.026197984411285655
2021-03-26,0.0029897580903697073,0.0,0.0628039112785018
2021-03-27,0.0010709155560124043,0.0,0.0029897580903697073
2021-03-28,0.049792671282424705,0.0,0.0010709155560124043
2021-03-29,0.011286236981288491,0.0,0.049792671282424705
2021-03-30,0.004145314472584292,0.0,0.011286236981288491
2021-03-31,0.03293737612754386,0.0,0.004145314472584292
2021-04-01,0.043692459311610914,0.0,0.03293737612754386
2021-04-02,-0.07840808755603221,0.0,0.043692459311610914
2021-04-03,0.03437452977095059,0.0,-0.07840808755603221
2021-04-04,0.08014477449218772,0.0,0.03437452977095059
2021-04-05,0.07238662747667772,0.0,0.08014477449218772
2021-04-06,-0.07985725323390337,0.0,0.07238662747667772
2021-04-07,0.033958874423151576,0.0,-0.07985725323390337
2021-04-08,-0.02290611143465578,0.0,0.033958874423151576
2021-04-09,0.14163550822719406,0.0,-0.02290611143465578
2021-04-10,-0.007798625230058719,0.0,0.14163550822719406
2021-04-11,-0.03670181833579152,0.0,-0.007798625230058719
2021-04-12,0.08798699703198991,0.0,-0.03670181833579152
2021-04-13,0.046711397481030946,0.0,0.08798699703198991
2021-04-14,0.02416406531161056,0.0,0.046711397481030946
2021-04-15,0.08049216141726886,0.0,0.02416406531161056
2021-04-16,-0.019022588050623634,0.0,0.08049216141726886
2021-04-17,-0.10969062047752899,0.0,-0.019022588050623634
2021-04-18,-0.04179755726363041,0.0,-0.10969062047752899
2021-04-19,-0.0037404844086904223,0.0,-0.04179755726363041
2021-04-20,-0.008218438668530009,0.0,-0.0037404844086904223
2021-04-21,-0.022378072502430298,0.0,-0.008218438668530009
2021-04-22,-0.047414600154771516,0.0,-0.022378072502430298
2021-04-23,-0.07091431672698753,0.0,-0.047414600154771516
2021-04-24,-0.005364541405348057,0.0,-0.07091431672698753
2021-04-25,0.10102474556391322,0.0,-0.005364541405348057
2021-04-26,0.04831293456374102,0.0,0.10102474556391322
2021-04-27,-0.004427716478658914,0.0,0.04831293456374102
2021-04-28,-0.011359568752574798,0.0,-0.004427716478658914
2021-04-29,0.05917909953308566,0.0,-0.011359568752574798
2021-04-30,0.020681162498839004,0.0,0.05917909953308566
2021-05-01,-0.028317041206855527,0.0,0.020681162498839004
2021-05-02,0.0908721993895206,0.0,-0.028317041206855527
2021-05-03,0.03837964202414912,0.0,0.0908721993895206
2021-05-04,0.150683740755866,0.0,0.03837964202414912
2021-05-05,-0.007122128817580376,0.0,0.150683740755866
2021-05-06,-0.02074138117935105,0.0,-0.007122128817580376
2021-05-07,0.0003325718461618021,0.0,-0.02074138117935105
2021-05-08,0.10950055799251769,0.0,0.0003325718461618021
2021-05-09,-0.07276521885514932,0.0,0.10950055799251769
2021-05-10,0.04903665920604454,0.0,-0.07276521885514932
2021-05-11,-0.2192630764459363,0.0,0.04903665920604454
2021-05-12,0.04460285163865181,0.0,-0.2192630764459363
2021-05-13,0.02899875959668833,0.0,0.04460285163865181
2021-05-14,-0.08459054756383123,0.0,0.02899875959668833
2021-05-15,-0.010548319068020829,0.0,-0.08459054756383123
2021-05-16,-0.05138689429685105,0.0,-0.010548319068020829
2021-05-17,0.044595381412692627,0.0,-0.05138689429685105
2021-05-18,-0.44118862695359534,0.0,0.044595381412692627
2021-05-19,0.11339249824673998,0.0,-0.44118862695359534
2021-05-20,-0.16383706550897356,0.0,0.11339249824673998
2021-05-21,-0.06064026097284046,0.0,-0.16383706550897356
2021-05-22,-0.16694067709456412,0.0,-0.06064026097284046
2021-05-23,0.2484338670366929,0.0,-0.16694067709456412
2021-05-24,-0.0027006375875722084,0.0,0.2484338670366929
2021-05-25,0.08222830776804077,0.0,-0.0027006375875722084
2021-05-26,-0.031114079011982043,0.0,0.08222830776804077
2021-05-27,-0.08535766948754728,0.0,-0.031114079011982043
2021-05-28,-0.07926409729180456,0.0,-0.08535766948754728
2021-05-29,0.04284055922309309,0.0,-0.07926409729180456
2021-05-30,0.09508486187833104,0.0,0.04284055922309309
2021-05-31,-0.027240405375681297,0.0,0.09508486187833104
2021-06-01,0.023138593550888844,0.0,-0.027240405375681297
2021-06-02,0.030617362827452622,0.0,0.023138593550888844
2021-06-03,-0.0764661081216409,0.0,0.030617362827452622
2021-06-04,-0.03321294293436427,0.0,-0.0764661081216409
2021-06-05,0.02065298825821192,0.0,-0.03321294293436427
2021-06-06,-0.08816495196948801,0.0,0.02065298825821192
2021-06-07,-0.003541300773603562,0.0,-0.08816495196948801
2021-06-08,0.06589598447803702,0.0,-0.003541300773603562
2021-06-09,-0.023128331599161563,0.0,0.06589598447803702
2021-06-10,-0.0321550150781937,0.0,-0.023128331599161563
2021-06-11,-0.005328876355851023,0.0,-0.0321550150781937
2021-06-12,0.05357117858204937,0.0,-0.005328876355851023
2021-06-13,0.01173806163433778,0.0,0.05357117858204937
2021-06-14,0.03248402095027497,0.0,0.01173806163433778
2021-06-15,-0.07073266932278768,0.0,0.03248402095027497
2021-06-16,0.0035785933145542925,0.0,-0.07073266932278768
2021-06-17,-0.06619412289730114,0.0,0.0035785933145542925
2021-06-18,-0.01976599062749659,0.0,-0.06619412289730114
2021-06-19,0.011655151780889715,0.0,-0.01976599062749659
2021-06-20,-0.21741833206998698,0.0,0.011655151780889715
2021-06-21,-0.04242868057160004,0.0,-0.21741833206998698
2021-06-22,0.07311446775981223,0.0,-0.04242868057160004
2021-06-23,0.04415997253809749,0.0,0.07311446775981223
2021-06-24,-0.06764911323719988,0.0,0.04415997253809749
2021-06-25,0.007684065110499492,0.0,-0.06764911323719988
2021-06-26,0.043949274103380766,0.0,0.007684065110499492
2021-06-27,0.037250250956295416,0.0,0.043949274103380766
2021-06-28,0.045063852841072886,0.0,0.037250250956295416
2021-06-29,0.003008091836633349,0.0,0.045063852841072886
2021-06-30,-0.046568532748936284,0.0,0.003008091836633349
2021-07-01,-0.004617755623304388,0.0,-0.046568532748936284
2021-07-02,0.02406838464343421,0.0,-0.004617755623304388
2021-07-03,0.03244600266747908,0.0,0.02406838464343421
2021-07-04,-0.048299958905694114,0.0,0.03244600266747908
2021-07-05,0.006586344232907625,0.0,-0.048299958905694114
2021-07-06,-0.01168376309089922,0.0,0.006586344232907625
2021-07-07,-0.03755053240979411,0.0,-0.01168376309089922
2021-07-08,0.016960023004692334,0.0,-0.03755053240979411
2021-07-09,-0.00435141614805193,0.0,0.016960023004692334
2021-07-10,0.0019277634193778346,0.0,-0.00435141614805193
2021-07-11,-0.00528563599057501,0.0,0.0019277634193778346
2021-07-12,-0.016736208493210253,0.0,-0.00528563599057501
2021-07-13,-0.0019757357497356357,0.0,-0.016736208493210253
2021-07-14,-0.04343660325578235,0.0,-0.0019757357497356357
2021-07-15,-0.03610874494887378,0.0,-0.04343660325578235
2021-07-16,-0.008412418750891637,0.0,-0.03610874494887378
2021-07-17,-0.004300435574828784,0.0,-0.008412418750891637
2021-07-18,-0.05457173520378539,0.0,-0.004300435574828784
2021-07-19,-0.05228982015248721,0.0,-0.05457173520378539
2021-07-20,0.08954156721429302,0.0,-0.05228982015248721
2021-07-21,0.027507705180813025,0.0,0.08954156721429302
2021-07-22,0.028686298753492025,0.0,0.027507705180813025
2021-07-23,0.015487270099575944,0.0,0.028686298753492025
2021-07-24,0.011106307091323679,0.0,0.015487270099575944
2021-07-25,0.029076070184432985,0.0,0.011106307091323679
2021-07-26,0.0244796186719519,0.0,0.029076070184432985
2021-07-27,0.0380344587238751,0.0,0.0244796186719519
2021-07-28,0.010561282373869435,0.0,0.0380344587238751
2021-07-29,0.031028560550805162,0.0,0.010561282373869435
2021-07-30,-0.005791473240019132,0.0,0.031028560550805162
2021-07-31,-0.029390542836974027,0.0,-0.005791473240019132
2021-08-01,0.005456156600072341,0.0,-0.029390542836974027
2021-08-02,-0.022979585212857825,0.0,0.005456156600072341
2021-08-03,0.030846054064383985,0.0,-0.022979585212857825
2021-08-04,0.005683648302034798,0.0,0.030846054064383985
2021-08-05,0.02997766772402924,0.0,0.005683648302034798
2021-08-06,0.05312238476616079,0.0,0.02997766772402924
2021-08-07,-0.039369152609754515,0.0,0.05312238476616079
2021-08-08,0.10547388522603045,0.0,-0.039369152609754515
2021-08-09,-0.006361543082127869,0.0,0.10547388522603045
2021-08-10,0.03255688322625934,0.0,-0.006361543082127869
2021-08-11,-0.03454962437280837,0.0,0.03255688322625934
2021-08-12,0.10430898613025275,0.0,-0.03454962437280837
2021-08-13,-0.00314108448774297,0.0,0.10430898613025275
2021-08-14,0.011931212253135608,0.0,-0.00314108448774297
2021-08-15,-0.03326579457901229,0.0,0.011931212253135608
2021-08-16,-0.0576054486084193,0.0,-0.03326579457901229
2021-08-17,-0.008601248129411262,0.0,-0.0576054486084193
2021-08-18,0.04723559638522581,0.0,-0.008601248129411262
2021-08-19,0.04531334774130699,0.0,0.04723559638522581
2021-08-20,-0.021424915383386794,0.0,0.04531334774130699
2021-08-21,0.035938651028053874,0.0,-0.021424915383386794
2021-08-22,0.00424903413509308,0.0,0.035938651028053874
2021-08-23,-0.07505737346211834,0.0,0.00424903413509308
2021-08-24,0.0229317670001252,0.0,-0.07505737346211834
2021-08-25,-0.055078699745377296,0.0,0.0229317670001252
2021-08-26,0.0459220926806695,0.0,-0.055078699745377296
2021-08-27,-0.0030179939234532558,0.0,0.0459220926806695
2021-08-28,-0.004282998837463164,0.0,-0.0030179939234532558
2021-08-29,-0.042560890353304015,0.0,-0.004282998837463164
2021-08-30,0.024977761259187523,0.0,-0.042560890353304015
2021-08-31,0.05283198707013984,0.0,0.024977761259187523
2021-09-01,0.014510168729787795,0.0,0.05283198707013984
2021-09-02,0.14827898126278413,0.0,0.014510168729787795
2021-09-03,-0.0028567079370136576,0.0,0.14827898126278413
2021-09-04,0.08558679276648713,0.0,-0.0028567079370136576
2021-09-05,-0.05239284778075726,0.0,0.08558679276648713
2021-09-06,-0.2090436251517051,0.0,-0.05239284778075726
2021-09-07,0.009000057808416133,0.0,-0.2090436251517051
2021-09-08,0.003621928220088605,0.0,0.009000057808416133
2021-09-09,-0.03429279070182302,0.0,0.003621928220088605
2021-09-10,0.024889239094456683,0.0,-0.03429279070182302
2021-09-11,0.025122206399614766,0.0,0.024889239094456683
2021-09-12,-0.020680877649566824,0.0,0.025122206399614766
2021-09-13,0.020160025584472264,0.0,-0.020680877649566824
2021-09-14,0.03276713318069787,0.0,0.020160025584472264
2021-09-15,-0.019752841380324477,0.0,0.03276713318069787
2021-09-16,-0.03205988468783366,0.0,-0.019752841380324477
2021-09-17,0.009001823147583278,0.0,-0.03205988468783366
2021-09-18,-0.031192984688716747,0.0,0.009001823147583278
2021-09-19,-0.11618296957118188,0.0,-0.031192984688716747
2021-09-20,-0.05298296168643662,0.0,-0.11618296957118188
2021-09-21,0.08411700212314643,0.0,-0.05298296168643662
2021-09-22,0.014798037693892102,0.0,0.08411700212314643
2021-09-23,-0.07335422234829808,0.0,0.014798037693892102
2021-09-24,-0.006923112969357422,0.0,-0.07335422234829808
2021-09-25,-0.003582166786357936,0.0,-0.006923112969357422
2021-09-26,-0.0357569244229677,0.0,-0.003582166786357936
2021-09-27,-0.03324321844432457,0.0,-0.0357569244229677
2021-09-28,0.030273866027547818,0.0,-0.03324321844432457
2021-09-29,0.05523236427492716,0.0,0.030273866027547818
2021-09-30,0.08137912846302518,0.0,0.05523236427492716
2021-10-01,0.01864578138371245,0.0,0.08137912846302518
2021-10-02,0.007950423423126038,0.0,0.01864578138371245
2021-10-03,-0.01815707528389076,0.0,0.007950423423126038
2021-10-04,0.037206142683692274,0.0,-0.01815707528389076
2021-10-05,0.02731102673228202,0.0,0.037206142683692274
2021-10-06,0.0003695634928701963,0.0,0.02731102673228202
2021-10-07,-0.015782672365293217,0.0,0.0003695634928701963
2021-10-08,0.020731662236303877,0.0,-0.015782672365293217
2021-10-09,-0.024453986082800545,0.0,0.020731662236303877
2021-10-10,0.023158442150560895,0.0,-0.024453986082800545
2021-10-11,-0.0376412848751807,0.0,0.023158442150560895
2021-10-12,0.027571420046187563,0.0,-0.0376412848751807
2021-10-13,0.013921059828963696,0.0,0.027571420046187563
2021-10-14,0.04714873300709198,0.0,0.013921059828963696
2021-10-15,-0.013999205276496129,0.0,0.04714873300709198
2021-10-16,-0.013293728859374127,0.0,-0.013999205276496129
2021-10-17,0.009890579238697366,0.0,-0.013293728859374127
2021-10-18,0.01806779677790815,0.0,0.009890579238697366
2021-10-19,0.09066584043648204,0.0,0.01806779677790815
2021-10-20,-0.04955490882493207,0.0,0.09066584043648204
2021-10-21,-0.031196951437142004,0.0,-0.04955490882493207
2021-10-22,0.028350014366582327,0.0,-0.031196951437142004
2021-10-23,-0.027913030180438586,0.0,0.028350014366582327
2021-10-24,0.022755075233075187,0.0,-0.027913030180438586
2021-10-25,0.01104637441278938,0.0,0.022755075233075187
2021-10-26,-0.09633029454534461,0.0,0.01104637441278938
2021-10-27,0.0576556640217745,0.0,-0.09633029454534461
2021-10-28,0.032965513989916644,0.0,0.0576556640217745
2021-10-29,-0.030312329458182224,0.0,0.032965513989916644
2021-10-30,0.006979021857401916,0.0,-0.030312329458182224
2021-10-31,0.029478451496419006,0.0,0.006979021857401916
2021-11-01,0.01591725658005367,0.0,0.029478451496419006
2021-11-02,0.031316473017163074,0.0,0.01591725658005367
2021-11-03,-0.02020245171125274,0.0,0.031316473017163074
2021-11-04,-0.01704390703832624,0.0,-0.02020245171125274
2021-11-05,-0.008412489222845229,0.0,-0.01704390703832624
2021-11-06,0.020929830180142172,0.0,-0.008412489222845229
2021-11-07,0.12387277303236596,0.0,0.020929830180142172
2021-11-08,0.1394047715683475,0.0,0.12387277303236596
2021-11-09,-0.0062717980489342285,0.0,0.1394047715683475
2021-11-10,0.006956189450042247,0.0,-0.0062717980489342285
2021-11-11,-0.044808607630991676,0.0,0.006956189450042247
2021-11-12,0.025645732962123177,0.0,-0.044808607630991676
2021-11-13,0.07432735544063716,0.0,0.025645732962123177
2021-11-14,-0.056394121176263655,0.0,0.07432735544063716
2021-11-15,-0.13057187707115506,0.0,-0.056394121176263655
2021-11-16,-0.0047612054718626385,0.0,-0.13057187707115506
2021-11-17,-0.11572996546552618,0.0,-0.0047612054718626385
2021-11-18,0.0649396014711658,0.0,-0.11572996546552618
2021-11-19,0.0401700889017433,0.0,0.0649396014711658
2021-11-20,-0.023651073090477023,0.0,0.0401700889017433
2021-11-21,-0.05855952325569035,0.0,-0.023651073090477023
2021-11-22,0.03398756490065432,0.0,-0.05855952325569035
2021-11-23,-0.030891478385589907,0.0,0.03398756490065432
2021-11-24,0.027400937838973353,0.0,-0.030891478385589907
2021-11-25,-0.10123054081808107,0.0,0.027400937838973353
2021-11-26,0.0015371103292407338,0.0,-0.10123054081808107
2021-11-27,0.02118959321184703,0.0,0.0015371103292407338
2021-11-28,0.03216268555430746,0.0,0.02118959321184703
2021-11-29,0.010362073358282486,0.0,0.03216268555430746
2021-11-30,0.004588705455996694,0.0,0.010362073358282486
2021-12-01,-0.026581678394034847,0.0,0.004588705455996694
2021-12-02,-0.07864278852065122,0.0,-0.026581678394034847
2021-12-03,-0.14289874236890465,0.0,-0.07864278852065122
2021-12-04,-0.041594062783524545,0.0,-0.14289874236890465
2021-12-05,0.03441617601773913,0.0,-0.041594062783524545
2021-12-06,0.0025068945632891835,0.0,0.03441617601773913
2021-12-07,0.017896397853993502,0.0,0.0025068945632891835
2021-12-08,-0.08476596602003744,0.0,0.017896397853993502
2021-12-09,-0.021286252001170555,0.0,-0.08476596602003744
2021-12-10,0.06161361558555442,0.0,-0.021286252001170555
2021-12-11,0.007325885754607257,0.0,0.06161361558555442
2021-12-12,-0.09665822726651317,0.0,0.007325885754607257
2021-12-13,0.010612798883119254,0.0,-0.09665822726651317
2021-12-14,0.049660216156958745,0.0,0.010612798883119254
2021-12-15,-0.030245828466648517,0.0,0.049660216156958745
2021-12-16,-0.03139452543656676,0.0,-0.030245828466648517
2021-12-17,0.03045196912679344,0.0,-0.03139452543656676
2021-12-18,0.02833264516695844,0.0,0.03045196912679344
2021-12-19,-0.0029371959470036076,0.0,0.02833264516695844
2021-12-20,0.014946615503933692,0.0,-0.0029371959470036076
2021-12-21,0.003482056922968723,0.0,0.014946615503933692
2021-12-22,0.05006733508900443,0.0,0.003482056922968723
2021-12-23,-0.012487953327193334,0.0,0.05006733508900443
2021-12-24,-0.02277893886587086,0.0,-0.012487953327193334
2021-12-25,-0.011430237560464018,0.0,-0.02277893886587086
2021-12-26,-0.0007125612356053416,0.0,-0.011430237560464018
2021-12-27,-0.06626287530382402,0.0,-0.0007125612356053416
2021-12-28,-0.002568656003168197,0.0,-0.06626287530382402
2021-12-29,0.018880102392597617,0.0,-0.002568656003168197
2021-12-30,-0.01201687622963587,0.0,0.018880102392597617
2021-12-31,0.028148037111622726,0.0,-0.01201687622963587
2022-01-01,0.0036963399162547933,0.0,0.028148037111622726
