Date,Close,High,Low,Open,Volume,Log_Return,Daily_Range,Price_Change,RSI_14,RSI_7,Stoch_K,Stoch_D,MACD,MACD_Sig,MACD_Hist,EMA_12,EMA_26,SMA_50,SMA_200,BB_Upper,BB_Lower,BB_Mid,BB_Width,ATR_14,Vol_20,Vol_Ratio,FearGreed_Score,Target
2021-02-11,47909.33203125,48463.46875,44187.76171875,44898.7109375,81388911810,0.06446761605839371,0.08924580765311169,0.0665910372634968,73.85511629097918,80.81153102678212,96.62084029141587,90.43011220079428,3336.159698448624,2102.4717888129862,1233.6879096356379,41275.87775763438,37939.718059185754,34725.5121875,19043.466420898436,47530.8771788108,26484.7874696267,37007.83232421875,0.5686928519563971,3195.477497264881,0.0527287197369008,1.1594509526338206,93.0,-0.008478464657924508
2021-02-12,47504.8515625,48745.734375,46424.9765625,47877.03515625,76555041196,-0.008478464657924508,0.048853069448005396,-0.008442623839676311,72.47618479062366,78.02750263991572,92.46834148026564,90.64290749660086,3585.9349530827385,2399.1644216669365,1186.770531415802,42234.1814199214,38648.24646683866,35200.890234375,19226.03631347656,48982.718544708885,26576.667002166112,37779.6927734375,0.5930713009475882,3132.9975197816752,0.05195506178708498,1.069113474762758,92.0,-0.008441745251820123
2021-02-13,47105.515625,48047.74609375,46392.28125,47491.203125,70250456155,-0.008441745251820123,0.035143758045849856,-0.008406213773231364,71.06544756855381,75.04942956909635,90.04453329659962,93.04457168942703,3708.906602547271,2661.1128578430034,1047.7937447042677,42983.61745147195,39274.71084892468,35649.7047265625,19406.999775390625,50125.58868524093,26915.41053350907,38520.499609375,0.6025409427992735,3027.4594714936984,0.05226542190312626,0.9664865864385925,92.0,0.033643879906238475
2021-02-14,48717.2890625,49487.640625,47114.5078125,47114.5078125,71248675228,0.033643879906238475,0.04871233309914842,0.03421623595697554,73.32252187129595,78.85045710822466,95.49591884020766,92.66959787235764,3891.559689278205,2907.202224130044,984.3574651481608,43865.7207762455,39974.161086967295,36095.309765625,19595.083881835937,51388.9726410063,27287.116226181202,39338.04443359375,0.6126856777415882,2981.3641521012914,0.05221341984413452,0.9726249486474126,95.0,-0.015978235928812496
2021-02-15,47945.05859375,48875.5703125,46347.4765625,48696.53515625,77069903166,-0.015978235928812496,0.052728974041332304,-0.01585126109458379,70.48553886900294,72.662850477985,90.35791127835851,91.96612113838859,3928.7132703861644,3111.5044333812684,817.2088370048959,44493.31120970773,40564.59793932157,36528.7650390625,19779.25310546875,52293.49214646168,27920.117619163324,40106.8048828125,0.6077116987632041,2948.9876948083424,0.05276536470569601,1.0401536192423024,93.0,0.0258352607407487
2021-02-16,49199.87109375,50341.1015625,47201.3046875,47944.45703125,77049582886,0.0258352607407487,0.06381717685839339,0.026171883752032166,72.35716261118006,76.2029842409984,92.33925292802562,92.73102768219725,4013.1495431016665,3291.8334553253485,721.316087776318,45217.397345714235,41204.24780261257,36971.0662890625,19968.635126953126,52995.5576524194,29094.78453508061,41045.17109375,0.5823041415212468,2962.6169219648896,0.04861096500118971,1.0298216900127817,95.0,0.058214152169521576
2021-02-17,52149.0078125,52533.9140625,49072.37890625,49207.27734375,80820545404,0.058214152169521576,0.06637777594342414,0.05994196027730325,76.18030624345506,82.43869634417968,97.62644041699647,93.44120154112686,4268.828189681037,3487.2324021964864,781.5957874845503,46283.79895598897,42014.97076630793,37466.7976953125,20170.58220214844,54328.07341039511,29630.5597927299,41979.3166015625,0.5883257665215529,2998.2539386995404,0.04642927924988007,1.0771255534029278,95.0,-0.009038226589304248
2021-02-18,51679.796875,52474.10546875,51015.765625,52140.97265625,52054723579,-0.009038226589304248,0.028218761139432207,-0.008997504596578998,74.41684010647805,78.61495305679651,94.61978588296027,94.86182640932743,4383.068670594432,3666.399655876076,716.6690147183558,47113.952481990666,42730.883811396234,37923.5745703125,20373.713115234375,55359.58842092286,30335.385797827134,42847.487109375,0.5840296435405299,2888.2600747745732,0.04694098133457681,0.7255868312629492,91.0,0.07828513543693166
2021-02-19,55888.1328125,56113.65234375,50937.27734375,51675.98046875,63495496918,0.07828513543693166,0.09262028877161282,0.08143096900475189,79.09171311469406,85.60259775197494,98.79191358644704,97.01271329546792,4758.331530477073,3884.7860307962756,873.5454996807975,48463.826378992104,43705.49484851503,38461.3028125,20596.92203613281,57011.78229967253,30845.05285657747,43928.417578125,0.5956674718946691,3051.696855147818,0.048348430487255616,0.8860755876671627,93.0,0.0037751835203801024
2021-02-20,56099.51953125,57505.2265625,54626.55859375,55887.3359375,68145460026,0.0037751835203801024,0.05131359399872311,0.0037823185014820293,79.2963642839547,85.87310653002295,92.99216396569274,95.46795447836666,5014.977651476547,4110.824354932331,904.1532965442166,49638.548402416396,44623.57075093985,38995.81015625,20821.390170898438,58197.493806839324,31957.857365035674,45077.6755859375,0.5820982581894575,3039.3376489765456,0.04663303680548767,0.9408616460215788,91.0,0.02535215971053203
2021-02-21,57539.9453125,58330.5703125,55672.609375,56068.56640625,51897585191,0.02535215971053203,0.04619331706112316,0.025676258785917394,80.6838073768815,87.70898875911708,96.09649751296362,95.96019168836779,5273.808690063306,4343.421221958526,930.38746810478,50854.14792704464,45580.33923698134,39504.0637109375,21050.35478515625,59346.60539517209,33209.02272982791,46277.8140625,0.5647972618163067,3012.0964552996493,0.04652349303187401,0.7212642282719148,91.0,-0.05966344725525414
2021-02-22,54207.3203125,57533.390625,48967.56640625,57532.73828125,92052420332,-0.05966344725525414,0.15801969492992543,-0.05791845963531039,69.13933690991536,64.93188461091088,71.46424853293453,86.85097000386362,5150.645729525138,4504.866123471849,645.7796060532892,51370.02060173008,46219.37487220494,39932.5696484375,21262.49251953125,59730.05401355466,34695.27723644534,47212.665625,0.5302555245652754,3409.2594875103887,0.04975740960208908,1.2540889053949669,94.0,-0.10458524450100902
2021-02-23,48824.42578125,54204.9296875,45290.58984375,54204.9296875,106102492824,-0.10458524450100902,0.18257951222384608,-0.09930198541853996,55.360774782533355,43.59710147888535,34.21088273722098,67.25720959437304,4566.049023140251,4517.10270340553,48.94631973472133,50978.390629348534,46412.34160620828,40269.6198828125,21448.60728515625,59482.42101307895,36078.143830671055,47780.282421875,0.4898312859635345,3802.6502718846464,0.05644337877470316,1.4025702247649132,94.0,0.017881495738120444
2021-02-24,49705.33203125,51290.13671875,47213.5,48835.0859375,63695521388,0.017881495738120444,0.08201608463629209,0.018042326886684945,56.87539019338954,46.92652006209759,39.01325734506743,48.22946287174097,4126.268637532259,4438.935890230876,-312.6672526986167,50782.5354604103,46656.26682287804,40583.8779296875,21638.363715820313,59025.15506750967,37813.33633874033,48419.245703125,0.43808651747336746,3822.220732375029,0.056064280445865276,0.8448635900935215,76.0,-0.053969759252051705
2021-02-25,47093.8515625,51948.96875,47093.8515625,49709.08203125,54506565949,-0.053969759252051705,0.10309450228458365,-0.052539242009451814,51.3165412286749,38.97033317909369,13.82871487477664,29.017618319021675,3526.3651226680886,4256.421736718318,-730.0566140502297,50215.045629962566,46688.68050729448,40789.2676953125,21815.45427734375,58401.96472879487,39331.48097433014,48866.7228515625,0.3902550169446232,3895.9990505982414,0.057936053976502755,0.7249475388408906,79.0,-0.016142075456887308
2021-02-26,46339.76171875,48370.78515625,44454.84375,47180.46484375,350967941479,-0.016142075456887308,0.08450499659486879,-0.016012490351298148,49.8028554798222,36.86471048329031,13.584283030224206,22.142085083356083,2956.0134340546356,3996.340076185582,-1040.3266421309463,49618.84810516063,46662.83467110599,40928.6420703125,21987.762529296873,57779.781469168505,40661.0392339565,49220.4103515625,0.34779763339922193,3897.4235045733667,0.05805848808256678,3.935985791561482,55.0,-0.0032705424799890207
2021-02-27,46188.453125,48253.26953125,45269.02734375,46344.7734375,45910946382,-0.0032705424799890207,0.06461013490587643,-0.003265200081699504,49.48742880200482,36.40425685745393,12.493827744380503,13.302275216460439,2463.3997339694033,3689.7520077423464,-1226.3522737729431,49091.09503128976,46627.69529732036,41036.4589453125,22161.65216796875,56884.161143165926,42285.16073183407,49584.6609375,0.29442573843014613,3832.196267639555,0.05797836514582381,0.5205941206755086,56.0,-0.02301047656676125
