Date,Close,High,Low,Open,Volume,Log_Return,Daily_Range,Price_Change,RSI_14,RSI_7,Stoch_K,Stoch_D,MACD,MACD_Sig,MACD_Hist,EMA_12,EMA_26,SMA_50,SMA_200,BB_Upper,BB_Lower,BB_Mid,BB_Width,ATR_14,Vol_20,Vol_Ratio,FearGreed_Score,Target
2021-02-11,1783.7979736328125,1806.5390625,1708.67919921875,1743.7142333984375,36021495262,0.022423899594163507,0.05486039603574191,0.022677205052725746,67.63458149553193,70.15063784240012,92.23324723670488,90.17452023469036,160.24716335747667,145.10810894389553,15.139054413581135,1638.3791716038622,1478.1320082463856,1219.5749584960938,630.8486770629883,1883.095194970144,1132.5749954595435,1507.8350952148437,0.49774687025948455,135.67165701616233,0.05696305163828188,0.9198647472379533,93.0,0.03293883410355654
2021-02-12,1843.5325927734375,1861.35693359375,1744.1689453125,1783.4891357421875,37905036865,0.03293883410355654,0.06356708242676126,0.03348732312940794,69.65912431819639,74.08661516320709,96.96348095960299,91.82215475470065,164.7425181878291,149.03499079268227,15.707527395146826,1669.9412363991814,1505.1987182113523,1244.213466796875,638.45876953125,1918.301703931132,1158.6226857173058,1538.4621948242188,0.4937911511700327,134.35139496366858,0.05678903422027988,0.9549765367749826,92.0,-0.01608870440834598
2021-02-13,1814.10986328125,1871.603515625,1770.612060546875,1843.98681640625,35359490535,-0.01608870440834598,0.05566997739346276,-0.015959972504702824,67.42200600276983,68.8681856334693,90.37353476254216,93.19008765295001,164.03999989670183,152.0359926134862,12.004007283215628,1692.121025150269,1528.081025253567,1267.9674499511718,645.9460325622558,1951.2199085527666,1167.954529923796,1559.5872192382812,0.5022260819831068,131.9685421147012,0.0518770189750442,0.8920338634022298,92.0,-0.004987726893274724
2021-02-14,1805.0841064453125,1848.154052734375,1789.9141845703125,1814.372314453125,31439114900,-0.004987726893274724,0.032264351536922115,-0.004975308838028325,66.71419945617441,67.17480745261297,88.8623047244257,92.06644014885694,160.90018872561063,153.8088318359111,7.09135688969954,1709.499960734122,1548.5997720085113,1291.3524157714844,653.3804986572266,1973.5671734038353,1193.674196225071,1583.6206848144532,0.4924746087603304,126.70220826108414,0.04996311191801748,0.8054527850307525,95.0,-0.014111236608850447
2021-02-15,1779.791015625,1833.83056640625,1683.9066162109375,1804.6767578125,38955610883,-0.014111236608850447,0.08423682830125113,-0.014012139783403876,64.66545312785891,62.176460723415026,81.95623500307316,87.06402483001368,154.58891986543586,153.96484944181606,0.6240704236197985,1720.3139691788724,1565.7250493134366,1313.2953894042969,660.6065205383301,1989.0770827368476,1220.4375779076838,1604.7573303222657,0.4789755374881549,128.36090411352902,0.050342569739426524,1.0013785866681228,93.0,0.0007169559279818775
2021-02-16,1781.0675048828125,1824.5186767578125,1729.6419677734375,1778.945556640625,34269369268,0.0007169559279818775,0.05326957497358727,0.0007172130023165302,64.7243300534387,62.34144617041992,75.52110046807783,82.11321339852555,147.9843246609032,152.7687444856335,-4.784419824730293,1729.6606669794787,1581.6763423185755,1334.3087927246095,667.784084777832,1986.695762624068,1275.6069351298381,1631.151348876953,0.4359428865897786,125.96917589001802,0.04548640245728124,0.886756968530712,95.0,0.03713900792867221
2021-02-17,1848.458251953125,1853.6676025390625,1736.705810546875,1781.35009765625,35955412703,0.03713900792867221,0.06327532248488862,0.03783727842182305,67.77699683938536,70.31642550730531,93.74204165371218,83.73979237495438,146.49925325941786,151.5148462403904,-5.015592980972542,1747.937218513886,1601.437965254468,1356.6475549316406,675.1003775024415,1996.58860663831,1317.310697560909,1656.9496520996095,0.4099568796291739,125.32579132588727,0.04457253114475991,0.928801127901691,95.0,0.04702035790880112
2021-02-18,1937.44921875,1949.9034423828125,1848.206298828125,1848.206298828125,28255902969,0.04702035790880112,0.05249022403813003,0.04814334686912458,71.30797961572037,77.61851651112285,97.2209896790512,88.82804393361373,150.76522312228508,151.36492161676935,-0.5996984944842723,1777.0929108579035,1626.3276877356184,1380.36416015625,682.9342649841309,2020.7750864232805,1348.6168569360946,1684.6959716796875,0.3989789497846463,123.63803077080158,0.04487531580647335,0.7546209663011129,91.0,0.011656276525288275
2021-02-19,1960.164794921875,1969.5469970703125,1896.6844482421875,1938.85986328125,26268814253,0.011656276525288275,0.03717164445402104,0.0117244756414987,72.14698418568233,79.14622453117809,97.9943849354064,96.31913875605657,154.20145375650668,151.93222804471682,2.2692257117898578,1805.2578160985145,1651.0563623420078,1404.8113879394532,690.8036131286622,2038.9680695641207,1388.8288054358793,1713.8984375,0.3793335998815516,120.01121063203895,0.044611168802779745,0.7056492453953581,93.0,-0.020946070485595023
2021-02-20,1919.5340576171875,2036.2864990234375,1830.531494140625,1959.9029541015625,34696091102,-0.020946070485595023,0.10719007775159059,-0.02072822520328288,68.29983959507325,69.27828750622197,78.1581809765465,91.1245185303347,151.8951773030983,151.9248178963931,-0.02964059329480051,1822.8387763321564,1670.943599029058,1428.594718017578,698.4519059753418,2024.5656500304183,1463.686010125832,1744.125830078125,0.32158209587404757,126.13576736423705,0.04309756758685647,0.9202887674717644,91.0,0.008335432652435207
